Strategy_FutScen_nr,District,Zone,Region,Strata,Strata_withoutUrban,Strategy,FutScen_label
45,Kyela,Southwest Highlands,Mbeya,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Ikungi,Central,Singida,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Kilindi,Northern,Tanga,high,high,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Mbulu,Central,Manyara,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Mpwapwa,Central,Dodoma,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Wanging'ombe,Southern Highlands,Njombe,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Arusha,Northern,Arusha,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Bumbuli,Northern,Tanga,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Itigi,Central,Singida,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Babati Urban,Central,Manyara,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Kiteto,Central,Manyara,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Kondoa,Central,Dodoma,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Kondoa TC,Central,Dodoma,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Kongwa,Central,Dodoma,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Korogwe,Northern,Tanga,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Korogwe Township Authority,Northern,Tanga,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Manyoni,Central,Singida,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Moshi,Northern,Kilimanjaro,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Chunya,Southwest Highlands,Mbeya,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Tunduma,Southwest Highlands,Songwe,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Mkinga,Northern,Tanga,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Iringa,Southern Highlands,Iringa,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Longido,Northern,Arusha,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Ludewa,Southern Highlands,Njombe,moderate,moderate,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Lushoto,Northern,Tanga,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Nkasi,Southwest Highlands,Rukwa,moderate,moderate,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Mufindi,Southern Highlands,Iringa,low,low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Mafinga Township Authority,Southern Highlands,Iringa,very low,very low,NMSPcurrent.withCM,increase in CM - ITN MRC
45,Chamwino,Central,Dodoma,low,low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
45,Meru,Northern,Arusha,very low,very low,NMSPcurrent.withCM_noITNinLow,increase in CM - ITN MRC
